ProcName,Path,ProcessId,_time,app,app:able_to_transfer_file,app:category,app:default_ports,app:evasive,app:excessive_bandwidth,app:has_known_vulnerability,app:risk,app:subcategory,app:used_by_malware,application,bytes_in,bytes_out,dest_port,protocol,src_ip,threat:category,threat:cve,threat:severity,threat_id,threat_name,transport,type,url,DriveType,FileSystem,FreeSpaceKB,DriveName,TotalSpaceKB,UsedSpaceKB,EventCode,Logon_ID,User,Event_time,Network_transfer,Network_time,Traffic_type,Reg_time,Rdata,Revent_status,key_path,Rpid,Rprocess_image,registry_type,SEP_time,SEP_action,SEP_app,direction,SEP_local_port,SEP_packet_id,SEP_remote_host,SEP_tag,Serv_Desc,Serv_Name,StartMode,Serv_Started,Serv_time,Attack1,Attack2,Attack3,Attack4,Attack5
1,1,2364,125132,1,1,2,2137,1,1,2,2,1,1,0,0,276,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920383927,1,976743932,56360005,680,0,1,063000,10755,144757,1,135004,0,0,1,6704,1,1,135415,0,1,2,4487,25276429,10121,1,1,1,2,2,130600,1,0,0,0,0
1,1,6860,125132,1,1,2,253,1,1,2,4,1,2,5,0,132,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920308636,1,976743932,56435296,576,1,1,063000,9867,144757,1,135004,0,0,1,6704,1,1,135415,0,1,1,3212,25276428,10308,0,1,1,2,2,130600,1,0,0,0,0
1,1,6704,125132,1,1,2,253,1,1,2,4,1,2,5,0,132,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920441851,1,976743932,56302081,528,1,1,063000,6348,144757,1,135004,0,0,1,6704,1,1,135415,0,1,2,3212,25276427,10308,0,1,1,3,1,130600,1,0,0,0,0
1,1,6168,125129,1,1,2,253,1,1,2,4,1,2,5,164,87,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920047386,1,976743932,56696546,552,1,10,063000,3519,144757,1,135004,0,0,1,6704,1,1,135415,0,1,1,3212,25276426,10308,0,1,1,1,1,130600,1,0,0,0,0
1,1,6440,125129,1,2,2,280,2,2,2,4,0,1,1,8385,1012,65000,2,10308,0,0,0,0,0,2,1,0,1,0,920764607,1,976743932,55979325,680,0,1,063000,719729,144601,1,135004,0,0,1,6704,1,1,135415,0,1,2,3212,25276425,10308,0,0,1,2,2,130600,1,0,0,0,0
1,1,4016,125129,1,2,2,280,2,2,2,4,0,1,1,8385,1012,65000,2,10308,0,0,0,0,0,2,1,0,1,0,920759043,1,976743932,55984889,538,1,1,062900,359864,144601,1,135004,0,0,1,6704,1,1,135415,1,0,1,0,25276424,0,0,1,1,1,2,130600,1,0,0,0,0
1,1,7940,125129,1,2,2,280,2,2,2,4,0,1,1,8385,1012,65000,2,10308,0,0,0,0,0,2,1,0,1,0,920199270,1,976743932,56544662,576,1,1,062900,359864,144601,1,135003,0,0,1,10816,1,1,135414,0,1,2,4487,25276423,10121,1,1,1,1,1,130600,1,0,0,0,0
1,1,7692,125129,1,2,2,280,2,2,2,4,0,1,1,8385,1012,65000,2,10308,0,0,0,0,0,2,1,0,1,0,920773228,1,976743932,55970704,528,1,1,062900,1116,144601,1,135003,0,0,1,10816,1,1,135414,0,1,1,3212,25276422,10308,0,0,1,1,1,130600,1,0,0,0,0
1,1,7344,125128,1,1,2,2137,1,1,2,2,1,1,0,0,276,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920762698,1,976743932,55981234,552,1,10,062900,178,144601,1,135003,0,0,1,10816,1,1,135414,0,1,2,3212,25276421,10308,0,1,1,2,2,130600,1,0,0,0,0
1,1,6712,125127,1,2,2,280,1,1,2,3,0,1,5,6794,646,65000,2,10211,0,0,0,0,0,2,1,0,1,0,920784394,1,976743932,55959538,680,0,1,062900,938,144601,1,135003,0,0,1,10816,1,1,135414,0,1,1,3212,25276420,10308,0,0,1,2,2,130600,1,0,0,0,0
1,1,5904,125127,1,1,2,253,1,1,2,4,1,2,5,75,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920329960,1,976743932,56413972,538,1,1,062800,17639,144257,1,135003,0,0,1,10816,1,1,135414,0,1,1,4487,25276419,10121,1,1,1,2,2,130600,1,0,0,0,0
1,1,272,125125,1,1,2,253,1,1,2,4,1,2,5,75,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920022931,1,976743932,56721001,576,1,1,062800,8819,144257,1,135003,0,0,1,10816,1,1,135414,0,1,2,4487,25276418,10121,1,1,1,2,2,130600,1,0,0,0,0
1,1,5876,125125,1,1,2,253,1,1,2,4,1,2,5,160,83,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920568648,1,976743932,56175284,528,1,1,062800,8819,144257,1,135003,0,0,1,10816,1,1,135414,0,1,1,4487,25276417,10121,1,1,1,2,2,130600,1,0,0,0,0
1,1,5808,125125,1,1,2,253,1,1,2,4,1,2,5,165,281,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920420520,1,976743932,56323412,552,1,10,062800,16745,144257,1,135003,0x4a49ffff(1246363647),0,1,1752,1,2,135414,0,1,2,4487,25276416,10121,1,0,1,2,2,130600,1,0,0,0,0
1,1,4916,125125,1,1,2,253,1,1,2,4,1,2,5,165,88,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920024253,1,976743932,56719679,680,0,1,062800,12924,144257,1,135003,0,0,1,1752,1,1,135414,0,1,1,4487,25276415,10121,1,0,1,2,2,130600,1,0,0,0,0
1,1,4720,125124,1,2,1,280,1,1,2,4,4,2,3,488,636,65000,2,10308,0,0,0,0,0,2,1,0,1,0,920608065,1,976743932,56135867,538,1,1,062700,3821,144257,1,135003,0x4a49ffff(1246363647),0,1,3556,1,2,135414,0,1,2,4487,25276414,10121,1,0,1,2,2,130600,1,0,0,0,0
